volume,open,high,low,close,caldt
117836734,403.5,403.8,390.55,391.86,2022-05-18 00:00:00-04:00
99939615,388.62,394.14,387.11,389.46,2022-05-19 00:00:00-04:00
131446436,393.25,397.03,380.54,389.63,2022-05-20 00:00:00-04:00
76648121,392.83,397.73,390.38,396.92,2022-05-23 00:00:00-04:00
92541551,392.56,395.15,386.96,393.89,2022-05-24 00:00:00-04:00
92887420,392.31,399.45,391.89,397.37,2022-05-25 00:00:00-04:00
83804711,398.67,407.04,398.45,405.31,2022-05-26 00:00:00-04:00
87207078,407.91,415.3801,407.7,415.26,2022-05-27 00:00:00-04:00
97389986,413.55,416.46,410.03,412.93,2022-05-31 00:00:00-04:00
87995482,415.17,416.24,406.93,409.59,2022-06-01 00:00:00-04:00
81695452,409.42,417.44,407.04,417.34,2022-06-02 00:00:00-04:00
72004446,412.4,414.04,409.51,410.54,2022-06-03 00:00:00-04:00
58402477,414.78,416.609,410.5523,411.79,2022-06-06 00:00:00-04:00
59483946,408.1,416.22,407.61,415.74,2022-06-07 00:00:00-04:00
65642329,413.93,415.82,410.38,411.22,2022-06-08 00:00:00-04:00
88177354,409.34,411.74,401.44,401.44,2022-06-09 00:00:00-04:00
135486175,394.88,395.7777,389.75,389.8,2022-06-10 00:00:00-04:00
173443346,379.85,381.81,373.3,375.0,2022-06-13 00:00:00-04:00
105591082,376.85,377.94,370.59,373.87,2022-06-14 00:00:00-04:00
128798622,377.36,383.9,372.12,379.2,2022-06-15 00:00:00-04:00
138951395,370.51,370.94,364.0799,366.65,2022-06-16 00:00:00-04:00
111452712,365.51,369.38,362.17,365.86,2022-06-17 00:00:00-04:00
79074527,371.89,376.525,371.81,375.07,2022-06-21 00:00:00-04:00
91634199,370.62,378.72,370.18,374.39,2022-06-22 00:00:00-04:00
80303462,376.64,378.83,372.89,378.06,2022-06-23 00:00:00-04:00
98013848,381.4,390.09,381.365,390.08,2022-06-24 00:00:00-04:00
67337838,391.05,391.36,387.44,388.59,2022-06-27 00:00:00-04:00
88649297,390.23,393.16,380.53,380.65,2022-06-28 00:00:00-04:00
65793757,381.23,382.27,378.42,380.34,2022-06-29 00:00:00-04:00
114444484,376.24,380.6582,372.56,377.25,2022-06-30 00:00:00-04:00
76230298,376.56,381.7,373.8,381.24,2022-07-01 00:00:00-04:00
81666726,375.88,381.98,372.9,381.96,2022-07-05 00:00:00-04:00
71417341,382.11,385.87,379.6,383.25,2022-07-06 00:00:00-04:00
